"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2012/13",1,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",55423
"2015/16",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",55032
"2013/14",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",54377
"2013/14",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",54232
"2015/16",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",54204
"2012/13",3,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",54001
"2013/14",3,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",53217
"2013/14",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",52866
"2014/15",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",52517
"2012/13",4,"CIFAS","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",52471
"2015/16",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",51927
"2013/14",1,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",51903
"2013/14",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",49746
"2013/14",2,"Cifas","Fraud offences recorded by CIFAS","Fraud offences","Fraud: CIFAS","CIFAS",45397
"2012/13",4,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",43861
"2014/15",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",36012
"2012/13",2,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",35496
"2020/21",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",31371
"2013/14",4,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",31158
"2012/13",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",30858
"2014/15",2,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",29764
"2015/16",3,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",29653
"2012/13",3,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",27464
"2020/21",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",26843
"2012/13",3,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",26819
"2015/16",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",26519
"2019/20",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",26033
"2019/20",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",25923
"2012/13",2,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",25754
"2019/20",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",25658
"2021/22",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",25070
"2017/18",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",24961
"2019/20",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",24375
"2015/16",4,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",23033
"2020/21",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",22829
"2016/17",3,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",22388
"2016/17",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",22030
"2013/14",2,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",22014
"2013/14",1,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",21753
"2013/14",3,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",21609
"2017/18",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",21116
"2017/18",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",21063
"2014/15",4,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",20897
"2018/19",1,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",20522
"2016/17",2,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",20443
"2015/16",2,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",20341
"2012/13",1,"Action Fraud","Fraud offences recorded by Action Fraud","Fraud offences","Fraud: Action Fraud","AF",20323
"2012/13",4,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",19970
"2016/17",4,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",19363
"2014/15",3,"Financial Fraud Action UK","Fraud offences recorded by Financial Fraud Action UK","Fraud offences","Fraud: Financial Fraud Action UK","FFA UK",18309
"2018/19",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",17788
"2017/18",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",17188
"2020/21",4,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",17077
"2018/19",2,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",16063
"2018/19",3,"UK Finance","Fraud offences recorded by UK Finance","Fraud offences","Fraud: UK Finance","UK Finance",14787
"2012/13",3,"Metropolitan Police","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",5171
"2012/13",2,"Metropolitan Police","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",4636
"2012/13",1,"Metropolitan Police","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",4256
"2012/13",2,"Metropolitan Police","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",2933
"2012/13",1,"Metropolitan Police","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",2772
"2012/13",3,"Metropolitan Police","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",2725
"2012/13",4,"Metropolitan Police","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",1707
"2012/13",4,"Metropolitan Police","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",963
"2012/13",2,"Staffordshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",682
"2012/13",2,"West Midlands","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",475
"2012/13",2,"Hampshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",472
"2012/13",3,"West Midlands","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",457
"2012/13",2,"Thames Valley","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",448
"2012/13",1,"West Midlands","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",448
"2012/13",1,"Essex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",443
"2012/13",1,"Thames Valley","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",432
"2012/13",1,"Hampshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",428
"2012/13",1,"Avon and Somerset","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",417
"2012/13",2,"Essex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",417
"2012/13",2,"Avon and Somerset","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",413
"2012/13",2,"Sussex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",410
"2012/13",1,"Sussex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",410
"2012/13",1,"Devon and Cornwall","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",390
"2012/13",3,"Essex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",382
"2012/13",3,"West Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",380
"2012/13",2,"Devon and Cornwall","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",374
"2012/13",3,"Avon and Somerset","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",374
"2012/13",2,"Surrey","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",373
"2012/13",1,"Greater Manchester","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",368
"2012/13",4,"West Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",362
"2012/13",1,"West Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",355
"2012/13",2,"West Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",343
"2012/13",3,"Thames Valley","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",336
"2012/13",1,"Hertfordshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",329
"2012/13",2,"Hertfordshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",315
"2012/13",2,"Metropolitan Police","Preserved other fraud and repealed fraud offences (pre Fraud Act 2006)   ","Fraud offences","Fraud offences to 2012/13","53B",308
"2012/13",3,"Hampshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",301
"2012/13",1,"Metropolitan Police","Preserved other fraud and repealed fraud offences (pre Fraud Act 2006)   ","Fraud offences","Fraud offences to 2012/13","53B",287
"2012/13",1,"Lancashire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",283
"2012/13",3,"Devon and Cornwall","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",268
"2012/13",1,"Surrey","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",264
"2012/13",2,"West Mercia","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",253
"2012/13",2,"Lancashire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",253
"2012/13",4,"Metropolitan Police","Preserved other fraud and repealed fraud offences (pre Fraud Act 2006)   ","Fraud offences","Fraud offences to 2012/13","53B",242
"2012/13",3,"West Mercia","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",242
"2012/13",3,"Lancashire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",234
"2012/13",1,"Humberside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",230
"2012/13",1,"Sussex","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",228
"2012/13",1,"West Mercia","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",226
"2012/13",2,"Humberside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",224
"2012/13",2,"South Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",218
"2012/13",2,"Sussex","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",218
"2012/13",2,"West Yorkshire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",217
"2012/13",2,"South Wales","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",216
"2012/13",1,"Staffordshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",209
"2012/13",3,"Merseyside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",206
"2012/13",1,"South Wales","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",205
"2012/13",1,"South Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",196
"2012/13",2,"Cheshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",194
"2012/13",3,"Surrey","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",193
"2012/13",3,"Humberside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",191
"2012/13",1,"West Midlands","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",189
"2012/13",3,"Sussex","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",187
"2012/13",1,"Suffolk","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",186
"2012/13",2,"Northumbria","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",185
"2012/13",1,"West Yorkshire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",185
"2012/13",3,"Metropolitan Police","Preserved other fraud and repealed fraud offences (pre Fraud Act 2006)   ","Fraud offences","Fraud offences to 2012/13","53B",183
"2012/13",2,"Suffolk","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",182
"2012/13",2,"Thames Valley","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",176
"2012/13",4,"South Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",171
"2012/13",1,"Merseyside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",170
"2012/13",3,"Cheshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",170
"2012/13",1,"Bedfordshire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",170
"2012/13",1,"Northamptonshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",170
"2012/13",3,"South Wales","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",167
"2012/13",3,"South Yorkshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",166
"2012/13",3,"Greater Manchester","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",164
"2012/13",1,"Thames Valley","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",163
"2012/13",1,"Northumbria","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",161
"2012/13",1,"Hampshire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",161
"2012/13",4,"Merseyside","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",159
"2012/13",1,"Cambridgeshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",159
"2012/13",2,"Derbyshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",158
"2012/13",4,"Cheshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",158
"2012/13",2,"Bedfordshire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",157
"2012/13",1,"Nottinghamshire","Fraud by false representation: other frauds (outcomes only)","Fraud offences","Fraud offences to 2012/13","53D",156
"2012/13",2,"Lancashire","Fraud by false representation: cheque, plastic card and online bank accounts (not PSP) (outcomes only)","Fraud offences","Fraud offences to 2012/13","53C",155
