"financialyear","financialquarter","forcename","offencedescription","offencegroup","offencesubgroup","offencecode","numberofoffences"
"2018/19",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9693
"2022/23",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9524
"2023/24",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9469
"2021/22",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",9415
"2021/22",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",9341
"2017/18",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9319
"2021/22",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",9071
"2019/20",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",9024
"2020/21",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8931
"2018/19",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8883
"2019/20",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8851
"2017/18",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8819
"2017/18",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8732
"2016/17",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8685
"2021/22",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",8681
"2018/19",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8644
"2018/19",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",8625
"2017/18",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",8576
"2021/22",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",8511
"2023/24",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",8414
"2019/20",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8410
"2020/21",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",8406
"2020/21",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8398
"2017/18",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8219
"2020/21",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",8167
"2021/22",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",8050
"2016/17",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7892
"2018/19",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7876
"2018/19",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7734
"2020/21",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",7595
"2022/23",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",7548
"2022/23",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",7511
"2016/17",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7486
"2015/16",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7453
"2017/18",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7444
"2015/16",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7407
"2019/20",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",7386
"2018/19",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",7283
"2016/17",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",7252
"2021/22",2,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",7175
"2015/16",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",6997
"2022/23",1,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",6948
"2021/22",1,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",6916
"2018/19",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",6870
"2022/23",2,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",6829
"2015/16",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",6826
"2020/21",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",6807
"2020/21",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",6738
"2019/20",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",6670
"2016/17",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",6660
"2021/22",3,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",6654
"2021/22",2,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",6461
"2014/15",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",6407
"2014/15",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",6347
"2022/23",2,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",6169
"2019/20",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",6100
"2020/21",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",6065
"2018/19",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",6058
"2019/20",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",6014
"2022/23",1,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",6011
"2020/21",4,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5952
"2014/15",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",5901
"2020/21",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5850
"2022/23",3,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5810
"2019/20",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5785
"2020/21",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",5748
"2018/19",1,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",5710
"2020/21",1,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",5662
"2021/22",4,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5633
"2021/22",2,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",5558
"2022/23",4,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5517
"2018/19",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5497
"2019/20",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5347
"2018/19",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5345
"2021/22",3,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",5345
"2014/15",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",5340
"2016/17",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",5313
"2021/22",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5282
"2019/20",4,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",5240
"2018/19",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5237
"2022/23",1,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",5227
"2022/23",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",5211
"2022/23",3,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",5145
"2022/23",2,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",5145
"2021/22",1,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",5115
"2019/20",3,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",5112
"2018/19",2,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",5096
"2020/21",3,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5029
"2020/21",2,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",5029
"2021/22",3,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",5017
"2018/19",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4972
"2021/22",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4970
"2023/24",1,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",4965
"2022/23",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4963
"2023/24",1,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",4887
"2021/22",4,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",4880
"2018/19",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4832
"2021/22",1,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",4809
"2022/23",4,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",4683
"2021/22",3,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4660
"2012/13",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4639
"2021/22",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4573
"2017/18",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4563
"2012/13",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4417
"2017/18",3,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4414
"2013/14",2,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4397
"2019/20",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4388
"2020/21",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4362
"2019/20",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4362
"2021/22",4,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4352
"2018/19",3,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4350
"2021/22",4,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",4345
"2022/23",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4314
"2023/24",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4301
"2021/22",2,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",4300
"2018/19",1,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4278
"2017/18",3,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4277
"2020/21",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4274
"2020/21",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4226
"2017/18",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4205
"2021/22",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4194
"2019/20",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4175
"2013/14",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4159
"2022/23",3,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4140
"2018/19",4,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4128
"2022/23",3,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",4126
"2013/14",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4116
"2017/18",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4114
"2013/14",1,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",4107
"2019/20",3,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4098
"2017/18",2,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4097
"2022/23",4,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",4093
"2022/23",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4091
"2017/18",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4063
"2019/20",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",4054
"2020/21",2,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",4042
"2017/18",4,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4041
"2021/22",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",4037
"2018/19",3,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3984
"2020/21",1,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",3979
"2018/19",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3974
"2022/23",2,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3965
"2016/17",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3962
"2012/13",3,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",3942
"2022/23",2,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3942
"2023/24",1,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",3925
"2016/17",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3900
"2018/19",4,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3897
"2017/18",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3877
"2019/20",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3872
"2021/22",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3837
"2017/18",1,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3828
"2018/19",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3804
"2021/22",1,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3796
"2018/19",2,"Lancashire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3793
"2021/22",1,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3792
"2022/23",1,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3786
"2017/18",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3782
"2022/23",1,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3727
"2021/22",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3724
"2018/19",2,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3722
"2022/23",2,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3687
"2021/22",2,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3684
"2019/20",2,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3674
"2020/21",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3641
"2020/21",2,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",3639
"2021/22",2,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3636
"2017/18",4,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3610
"2018/19",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3607
"2020/21",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3587
"2012/13",4,"Metropolitan Police","Public fear, alarm or distress","Public order offences","Public order offences","9A",3585
"2023/24",1,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3574
"2021/22",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3569
"2021/22",1,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3561
"2017/18",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3560
"2020/21",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3535
"2019/20",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3530
"2022/23",4,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",3518
"2017/18",4,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3510
"2020/21",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3509
"2019/20",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3507
"2018/19",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3506
"2023/24",1,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3496
"2022/23",2,"Sussex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3487
"2021/22",3,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3470
"2022/23",1,"Sussex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3467
"2021/22",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3466
"2019/20",3,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3464
"2021/22",2,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3448
"2020/21",2,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",3444
"2017/18",1,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3418
"2020/21",2,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3414
"2020/21",2,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3413
"2021/22",1,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3403
"2019/20",2,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3401
"2023/24",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3385
"2023/24",1,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3384
"2019/20",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3380
"2016/17",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3378
"2019/20",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3351
"2020/21",1,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3338
"2017/18",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3337
"2021/22",2,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",3336
"2019/20",4,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3332
"2019/20",1,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3329
"2017/18",3,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3315
"2020/21",3,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3313
"2017/18",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3311
"2018/19",1,"Lancashire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3306
"2019/20",4,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",3305
"2022/23",3,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3301
"2019/20",3,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3290
"2022/23",1,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3289
"2017/18",2,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3281
"2023/24",1,"Humberside","Public fear, alarm or distress","Public order offences","Public order offences","9A",3279
"2019/20",1,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3279
"2016/17",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3267
"2021/22",1,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",3266
"2022/23",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3255
"2017/18",1,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3248
"2022/23",1,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3236
"2021/22",2,"Sussex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3231
"2022/23",2,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3224
"2019/20",1,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3212
"2022/23",4,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3200
"2019/20",3,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",3172
"2022/23",4,"Humberside","Public fear, alarm or distress","Public order offences","Public order offences","9A",3171
"2021/22",4,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",3171
"2016/17",3,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3155
"2019/20",2,"West Midlands","Public fear, alarm or distress","Public order offences","Public order offences","9A",3155
"2020/21",3,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3141
"2020/21",1,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3131
"2020/21",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3122
"2021/22",3,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3107
"2021/22",4,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3101
"2016/17",2,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3094
"2016/17",4,"West Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3089
"2020/21",3,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3081
"2020/21",4,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3079
"2022/23",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3077
"2021/22",3,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",3077
"2022/23",2,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3073
"2020/21",2,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",3071
"2020/21",2,"Humberside","Public fear, alarm or distress","Public order offences","Public order offences","9A",3068
"2019/20",2,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3056
"2017/18",3,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3056
"2021/22",4,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3056
"2016/17",2,"Greater Manchester","Public fear, alarm or distress","Public order offences","Public order offences","9A",3055
"2019/20",4,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3050
"2018/19",3,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3046
"2020/21",3,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3040
"2019/20",3,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3030
"2017/18",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",3019
"2021/22",3,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3013
"2019/20",2,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",3009
"2018/19",3,"Lancashire","Public fear, alarm or distress","Public order offences","Public order offences","9A",3001
"2022/23",1,"Cheshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",2990
"2021/22",3,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",2981
"2022/23",2,"Leicestershire","Public fear, alarm or distress","Public order offences","Public order offences","9A",2976
"2020/21",3,"Essex","Public fear, alarm or distress","Public order offences","Public order offences","9A",2975
"2020/21",4,"Thames Valley","Public fear, alarm or distress","Public order offences","Public order offences","9A",2962
"2018/19",3,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",2959
"2018/19",2,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",2956
"2020/21",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",2952
"2022/23",1,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",2933
"2022/23",2,"Humberside","Public fear, alarm or distress","Public order offences","Public order offences","9A",2927
"2020/21",1,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",2924
"2016/17",4,"Hampshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",2918
"2022/23",2,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",2917
"2021/22",1,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",2910
"2018/19",4,"Avon and Somerset","Public fear, alarm or distress","Public order offences","Public order offences","9A",2906
"2021/22",3,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",2904
"2020/21",4,"Merseyside","Public fear, alarm or distress","Public order offences","Public order offences","9A",2886
"2020/21",1,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",2884
"2018/19",4,"Kent","Public fear, alarm or distress","Public order offences","Public order offences","9A",2874
"2020/21",4,"Northumbria","Public fear, alarm or distress","Public order offences","Public order offences","9A",2871
"2019/20",4,"South Yorkshire","Public fear, alarm or distress","Public order offences","Public order offences","9A",2871
"2018/19",2,"South Wales","Public fear, alarm or distress","Public order offences","Public order offences","9A",2867
"2023/24",1,"Metropolitan Police","Racially or religiously aggravated public fear, alarm or distress","Public order offences","Public order offences","9B",2858
